date,pitcher,stat,pp_line,side,product,sharp_line,sharp_mu,pp_p_hit,breakeven,edge,n_books
2026-07-02,Sonia Citron,rebounds,2.5,MORE,goblin,3.5,3.28,0.637,0.6,0.037,2.0
2026-07-02,Jordin Canada,rebounds,2.5,MORE,goblin,3.5,3.33,0.647,0.6,0.047,3.0
2026-07-02,Aaliyah Edwards,rebounds,2.5,MORE,goblin,3.5,3.59,0.696,0.6,0.096,2.0
2026-07-02,Arike Ogunbowale,rebounds,2.5,MORE,goblin,3.5,3.26,0.633,0.6,0.033,2.0
2026-07-02,Azzi Fudd,rebounds,1.5,MORE,goblin,2.5,2.29,0.667,0.6,0.067,2.0
2026-07-02,Flau'jae Johnson,rebounds,3.5,MORE,goblin,5.5,5.15,0.756,0.6,0.156,2.0
2026-07-02,Kahleah Copper,rebounds,2.5,MORE,goblin,3.5,3.85,0.739,0.6,0.139,3.0
2026-07-02,Natisha Hiedeman,rebounds,1.5,MORE,goblin,2.5,2.21,0.648,0.6,0.048,2.0
2026-07-02,Jade Melbourne,rebounds,1.5,MORE,goblin,2.5,2.17,0.639,0.6,0.039,2.0
2026-07-02,Natasha Howard,rebounds,6.5,MORE,goblin,7.5,7.89,0.673,0.6,0.073,3.0
2026-07-02,Kayla McBride,rebounds,2.5,MORE,goblin,3.5,3.36,0.653,0.6,0.053,3.0
2026-07-02,Rhyne Howard,assists,2.5,MORE,goblin,3.5,3.3,0.641,0.6,0.041,3.0
2026-07-02,Shakira Austin,assists,1.5,MORE,goblin,2.5,2.85,0.777,0.6,0.177,2.0
2026-07-02,Allisha Gray,assists,1.5,MORE,goblin,2.5,2.34,0.679,0.6,0.079,2.0
2026-07-02,Leila Lacan,assists,3.5,MORE,goblin,4.5,4.52,0.661,0.6,0.061,3.0
2026-07-02,Charlisse Leger-Walker,assists,2.5,MORE,goblin,3.5,3.33,0.647,0.6,0.047,2.0
2026-07-02,Breanna Stewart,assists,2.5,MORE,goblin,3.5,3.32,0.644,0.6,0.044,3.0
2026-07-02,Charlisse Leger-Walker,points,5.5,MORE,goblin,7.5,7.45,0.753,0.6,0.153,2.0
2026-07-02,Kayla McBride,points,14.5,MORE,std,15.5,15.36,0.571,0.5,0.071,2.0
